symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,14374490123.22523,,2021-12-01 00:00:00+00:00,30,14374490123.22523,1
ETHUSDT,6597780203.865088,,2021-12-01 00:00:00+00:00,30,6597780203.865088,2
SANDUSDT,3046605015.7509155,,2021-12-01 00:00:00+00:00,30,3046605015.7509155,3
1000SHIBUSDT,2669309360.747458,,2021-12-01 00:00:00+00:00,30,2669309360.747458,4
MANAUSDT,2127771485.481097,,2021-12-01 00:00:00+00:00,30,2127771485.481097,5
SOLUSDT,1528405033.9604518,,2021-12-01 00:00:00+00:00,30,1528405033.9604518,6
GALAUSDT,1506658989.967433,,2021-12-01 00:00:00+00:00,30,1506658989.967433,7
LRCUSDT,1460314042.9526148,,2021-12-01 00:00:00+00:00,30,1460314042.9526148,8
BNBUSDT,1024014986.6282594,,2021-12-01 00:00:00+00:00,30,1024014986.6282594,9
XRPUSDT,982230087.8571631,,2021-12-01 00:00:00+00:00,30,982230087.8571631,10
AVAXUSDT,942648144.8733227,,2021-12-01 00:00:00+00:00,30,942648144.8733227,11
LTCUSDT,852833279.1414485,,2021-12-01 00:00:00+00:00,30,852833279.1414485,12
DOTUSDT,842075717.993558,,2021-12-01 00:00:00+00:00,30,842075717.993558,13
ADAUSDT,808747253.718938,,2021-12-01 00:00:00+00:00,30,808747253.718938,14
DOGEUSDT,735001046.5304252,,2021-12-01 00:00:00+00:00,30,735001046.5304252,15
CHRUSDT,553263625.1348387,,2021-12-01 00:00:00+00:00,30,553263625.1348387,16
IOTXUSDT,547511902.5668468,,2021-12-01 00:00:00+00:00,30,547511902.5668468,17
LINKUSDT,443268573.4974745,,2021-12-01 00:00:00+00:00,30,443268573.4974745,18
AXSUSDT,436330413.7145161,,2021-12-01 00:00:00+00:00,30,436330413.7145161,19
ALICEUSDT,426981912.5362839,,2021-12-01 00:00:00+00:00,30,426981912.5362839,20
ENJUSDT,346581345.659558,,2021-12-01 00:00:00+00:00,30,346581345.659558,21
CHZUSDT,346276878.7594239,,2021-12-01 00:00:00+00:00,30,346276878.7594239,22
FILUSDT,327923303.82838064,,2021-12-01 00:00:00+00:00,30,327923303.82838064,23
ALGOUSDT,324718556.2734026,,2021-12-01 00:00:00+00:00,30,324718556.2734026,24
DYDXUSDT,291130585.2886774,,2021-12-01 00:00:00+00:00,30,291130585.2886774,25
CRVUSDT,289498633.99925804,,2021-12-01 00:00:00+00:00,30,289498633.99925804,26
ATOMUSDT,278365085.86591965,,2021-12-01 00:00:00+00:00,30,278365085.86591965,27
ETCUSDT,270723324.71552575,,2021-12-01 00:00:00+00:00,30,270723324.71552575,28
STORJUSDT,257309001.49748388,,2021-12-01 00:00:00+00:00,30,257309001.49748388,29
VETUSDT,244158964.51561746,,2021-12-01 00:00:00+00:00,30,244158964.51561746,30
EGLDUSDT,233800693.22653225,,2021-12-01 00:00:00+00:00,30,233800693.22653225,31
BATUSDT,233050396.0149229,,2021-12-01 00:00:00+00:00,30,233050396.0149229,32
BCHUSDT,225254208.91292164,,2021-12-01 00:00:00+00:00,30,225254208.91292164,33
ZECUSDT,207150852.12067547,,2021-12-01 00:00:00+00:00,30,207150852.12067547,34
TRXUSDT,206312550.7685945,,2021-12-01 00:00:00+00:00,30,206312550.7685945,35
ONEUSDT,195450104.56793162,,2021-12-01 00:00:00+00:00,30,195450104.56793162,36
CELRUSDT,186535890.55583742,,2021-12-01 00:00:00+00:00,30,186535890.55583742,37
ANKRUSDT,184159727.66307425,,2021-12-01 00:00:00+00:00,30,184159727.66307425,38
GTCUSDT,178609020.45892903,,2021-12-01 00:00:00+00:00,30,178609020.45892903,39
NEARUSDT,168771828.59489676,,2021-12-01 00:00:00+00:00,30,168771828.59489676,40
