symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,3690997174.531477,,2020-06-01 00:00:00+00:00,30,3690997174.531477,1
ETHUSDT,338501531.15677387,,2020-06-01 00:00:00+00:00,30,338501531.15677387,2
BCHUSDT,71394904.37369904,,2020-06-01 00:00:00+00:00,30,71394904.37369904,3
LINKUSDT,55100322.78092968,,2020-06-01 00:00:00+00:00,30,55100322.78092968,4
ETCUSDT,38491901.145527415,,2020-06-01 00:00:00+00:00,30,38491901.145527415,5
ADAUSDT,37250271.986489035,,2020-06-01 00:00:00+00:00,30,37250271.986489035,6
XTZUSDT,35681332.032622576,,2020-06-01 00:00:00+00:00,30,35681332.032622576,7
LTCUSDT,32695881.065942902,,2020-06-01 00:00:00+00:00,30,32695881.065942902,8
XRPUSDT,31347660.06076,,2020-06-01 00:00:00+00:00,30,31347660.06076,9
BNBUSDT,19080585.692969676,,2020-06-01 00:00:00+00:00,30,19080585.692969676,10
