symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,13958162677.858358,,2022-04-01 00:00:00+00:00,30,13958162677.858358,1
ETHUSDT,5194632085.362773,,2022-04-01 00:00:00+00:00,30,5194632085.362773,2
SOLUSDT,1002502093.2564517,,2022-04-01 00:00:00+00:00,30,1002502093.2564517,3
AVAXUSDT,731974347.0315483,,2022-04-01 00:00:00+00:00,30,731974347.0315483,4
ETCUSDT,715903569.0764807,,2022-04-01 00:00:00+00:00,30,715903569.0764807,5
ZILUSDT,715784583.9675926,,2022-04-01 00:00:00+00:00,30,715784583.9675926,6
GALAUSDT,658038353.6242745,,2022-04-01 00:00:00+00:00,30,658038353.6242745,7
XRPUSDT,613723249.3553878,,2022-04-01 00:00:00+00:00,30,613723249.3553878,8
ADAUSDT,585300196.0615612,,2022-04-01 00:00:00+00:00,30,585300196.0615612,9
1000SHIBUSDT,507314179.50430936,,2022-04-01 00:00:00+00:00,30,507314179.50430936,10
NEARUSDT,463254552.5602904,,2022-04-01 00:00:00+00:00,30,463254552.5602904,11
RUNEUSDT,460978372.94748384,,2022-04-01 00:00:00+00:00,30,460978372.94748384,12
SANDUSDT,405408656.30833817,,2022-04-01 00:00:00+00:00,30,405408656.30833817,13
BNBUSDT,376810885.37202555,,2022-04-01 00:00:00+00:00,30,376810885.37202555,14
ATOMUSDT,374794576.2718248,,2022-04-01 00:00:00+00:00,30,374794576.2718248,15
AXSUSDT,365906334.9203226,,2022-04-01 00:00:00+00:00,30,365906334.9203226,16
DOTUSDT,361628343.54380333,,2022-04-01 00:00:00+00:00,30,361628343.54380333,17
LRCUSDT,349016708.9277561,,2022-04-01 00:00:00+00:00,30,349016708.9277561,18
OGNUSDT,291234507.8140742,,2022-04-01 00:00:00+00:00,30,291234507.8140742,19
DOGEUSDT,289664555.21534586,,2022-04-01 00:00:00+00:00,30,289664555.21534586,20
LINKUSDT,236301497.8876229,,2022-04-01 00:00:00+00:00,30,236301497.8876229,21
MANAUSDT,234558111.52113542,,2022-04-01 00:00:00+00:00,30,234558111.52113542,22
FILUSDT,233189919.5425677,,2022-04-01 00:00:00+00:00,30,233189919.5425677,23
AAVEUSDT,218631190.1525484,,2022-04-01 00:00:00+00:00,30,218631190.1525484,24
PEOPLEUSDT,216646559.27474263,,2022-04-01 00:00:00+00:00,30,216646559.27474263,25
IMXUSDT,206963341.98565805,,2022-04-01 00:00:00+00:00,30,206963341.98565805,26
LTCUSDT,201255243.53714868,,2022-04-01 00:00:00+00:00,30,201255243.53714868,27
ZECUSDT,197652945.15880162,,2022-04-01 00:00:00+00:00,30,197652945.15880162,28
VETUSDT,177094211.13462064,,2022-04-01 00:00:00+00:00,30,177094211.13462064,29
KNCUSDT,169882372.80845156,,2022-04-01 00:00:00+00:00,30,169882372.80845156,30
CHZUSDT,157600106.89150098,,2022-04-01 00:00:00+00:00,30,157600106.89150098,31
THETAUSDT,122164921.1645645,,2022-04-01 00:00:00+00:00,30,122164921.1645645,32
SUSHIUSDT,120347680.80045162,,2022-04-01 00:00:00+00:00,30,120347680.80045162,33
DYDXUSDT,119507228.74568708,,2022-04-01 00:00:00+00:00,30,119507228.74568708,34
BCHUSDT,118778634.52308708,,2022-04-01 00:00:00+00:00,30,118778634.52308708,35
ALICEUSDT,116742428.90119354,,2022-04-01 00:00:00+00:00,30,116742428.90119354,36
IOSTUSDT,112068752.68613154,,2022-04-01 00:00:00+00:00,30,112068752.68613154,37
ONEUSDT,107650497.69435838,,2022-04-01 00:00:00+00:00,30,107650497.69435838,38
EGLDUSDT,107243366.52677421,,2022-04-01 00:00:00+00:00,30,107243366.52677421,39
CRVUSDT,106521338.03131288,,2022-04-01 00:00:00+00:00,30,106521338.03131288,40
