symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,23757983796.05143,,2021-06-01 00:00:00+00:00,30,23757983796.05143,1
ETHUSDT,14054869207.070175,,2021-06-01 00:00:00+00:00,30,14054869207.070175,2
DOGEUSDT,4259456477.8701177,,2021-06-01 00:00:00+00:00,30,4259456477.8701177,3
XRPUSDT,3574563616.296751,,2021-06-01 00:00:00+00:00,30,3574563616.296751,4
ETCUSDT,2816529269.146134,,2021-06-01 00:00:00+00:00,30,2816529269.146134,5
BNBUSDT,2391900781.23846,,2021-06-01 00:00:00+00:00,30,2391900781.23846,6
ADAUSDT,2157149035.759143,,2021-06-01 00:00:00+00:00,30,2157149035.759143,7
LTCUSDT,1425720736.17467,,2021-06-01 00:00:00+00:00,30,1425720736.17467,8
BCHUSDT,1152905763.654687,,2021-06-01 00:00:00+00:00,30,1152905763.654687,9
DOTUSDT,970928210.0020356,,2021-06-01 00:00:00+00:00,30,970928210.0020356,10
LINKUSDT,879728738.638014,,2021-06-01 00:00:00+00:00,30,879728738.638014,11
XLMUSDT,532758510.76180905,,2021-06-01 00:00:00+00:00,30,532758510.76180905,12
AAVEUSDT,498187126.5802064,,2021-06-01 00:00:00+00:00,30,498187126.5802064,13
SOLUSDT,477279391.8426033,,2021-06-01 00:00:00+00:00,30,477279391.8426033,14
TRXUSDT,475200914.2862448,,2021-06-01 00:00:00+00:00,30,475200914.2862448,15
SUSHIUSDT,451060016.7818193,,2021-06-01 00:00:00+00:00,30,451060016.7818193,16
VETUSDT,449381701.81927186,,2021-06-01 00:00:00+00:00,30,449381701.81927186,17
UNIUSDT,377006354.94171286,,2021-06-01 00:00:00+00:00,30,377006354.94171286,18
RLCUSDT,353295575.16328704,,2021-06-01 00:00:00+00:00,30,353295575.16328704,19
FILUSDT,352842100.5099032,,2021-06-01 00:00:00+00:00,30,352842100.5099032,20
YFIUSDT,277926800.7900645,,2021-06-01 00:00:00+00:00,30,277926800.7900645,21
SXPUSDT,275729322.9876997,,2021-06-01 00:00:00+00:00,30,275729322.9876997,22
NEOUSDT,249626093.46506968,,2021-06-01 00:00:00+00:00,30,249626093.46506968,23
QTUMUSDT,247267990.43360004,,2021-06-01 00:00:00+00:00,30,247267990.43360004,24
THETAUSDT,240084919.35229743,,2021-06-01 00:00:00+00:00,30,240084919.35229743,25
AVAXUSDT,236677561.7342548,,2021-06-01 00:00:00+00:00,30,236677561.7342548,26
CHZUSDT,229893858.07286903,,2021-06-01 00:00:00+00:00,30,229893858.07286903,27
ZECUSDT,188289135.07431775,,2021-06-01 00:00:00+00:00,30,188289135.07431775,28
CRVUSDT,171311141.19938388,,2021-06-01 00:00:00+00:00,30,171311141.19938388,29
XTZUSDT,169182920.18236777,,2021-06-01 00:00:00+00:00,30,169182920.18236777,30
ONTUSDT,162037043.4038084,,2021-06-01 00:00:00+00:00,30,162037043.4038084,31
1INCHUSDT,149209563.50769034,,2021-06-01 00:00:00+00:00,30,149209563.50769034,32
ATOMUSDT,143439559.2751055,,2021-06-01 00:00:00+00:00,30,143439559.2751055,33
KSMUSDT,142927108.22681615,,2021-06-01 00:00:00+00:00,30,142927108.22681615,34
XMRUSDT,139400657.43336552,,2021-06-01 00:00:00+00:00,30,139400657.43336552,35
RUNEUSDT,136075831.21406132,,2021-06-01 00:00:00+00:00,30,136075831.21406132,36
ENJUSDT,133000837.43245807,,2021-06-01 00:00:00+00:00,30,133000837.43245807,37
DASHUSDT,125134923.10571809,,2021-06-01 00:00:00+00:00,30,125134923.10571809,38
ALICEUSDT,116234503.01881932,,2021-06-01 00:00:00+00:00,30,116234503.01881932,39
IOTAUSDT,104091836.91034709,,2021-06-01 00:00:00+00:00,30,104091836.91034709,40
