symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,13876504439.733488,,2021-02-01 00:00:00+00:00,30,13876504439.733488,1
ETHUSDT,6255490109.413977,,2021-02-01 00:00:00+00:00,30,6255490109.413977,2
XRPUSDT,1139307108.0743625,,2021-02-01 00:00:00+00:00,30,1139307108.0743625,3
LINKUSDT,683774687.4274784,,2021-02-01 00:00:00+00:00,30,683774687.4274784,4
LTCUSDT,612068788.3703914,,2021-02-01 00:00:00+00:00,30,612068788.3703914,5
DOGEUSDT,522219682.11346346,,2021-02-01 00:00:00+00:00,30,522219682.11346346,6
DOTUSDT,468270971.86734825,,2021-02-01 00:00:00+00:00,30,468270971.86734825,7
BCHUSDT,417349537.6370478,,2021-02-01 00:00:00+00:00,30,417349537.6370478,8
XLMUSDT,349426415.2180222,,2021-02-01 00:00:00+00:00,30,349426415.2180222,9
ADAUSDT,319594279.8358867,,2021-02-01 00:00:00+00:00,30,319594279.8358867,10
UNIUSDT,209463078.27115157,,2021-02-01 00:00:00+00:00,30,209463078.27115157,11
SUSHIUSDT,181832996.52630323,,2021-02-01 00:00:00+00:00,30,181832996.52630323,12
YFIUSDT,174650827.54710004,,2021-02-01 00:00:00+00:00,30,174650827.54710004,13
BNBUSDT,160103918.61192322,,2021-02-01 00:00:00+00:00,30,160103918.61192322,14
TRXUSDT,123794716.3603358,,2021-02-01 00:00:00+00:00,30,123794716.3603358,15
CRVUSDT,112908386.12624516,,2021-02-01 00:00:00+00:00,30,112908386.12624516,16
AAVEUSDT,108037596.86291936,,2021-02-01 00:00:00+00:00,30,108037596.86291936,17
GRTUSDT,96160307.72424518,,2021-02-01 00:00:00+00:00,30,96160307.72424518,18
1INCHUSDT,89789256.23759355,,2021-02-01 00:00:00+00:00,30,89789256.23759355,19
SXPUSDT,89631811.62049194,,2021-02-01 00:00:00+00:00,30,89631811.62049194,20
ETCUSDT,80098663.54415192,,2021-02-01 00:00:00+00:00,30,80098663.54415192,21
XTZUSDT,79399847.98690969,,2021-02-01 00:00:00+00:00,30,79399847.98690969,22
VETUSDT,70459284.96918662,,2021-02-01 00:00:00+00:00,30,70459284.96918662,23
SOLUSDT,70145967.07091936,,2021-02-01 00:00:00+00:00,30,70145967.07091936,24
IOSTUSDT,69063416.6307277,,2021-02-01 00:00:00+00:00,30,69063416.6307277,25
AVAXUSDT,68237800.7144097,,2021-02-01 00:00:00+00:00,30,68237800.7144097,26
ZECUSDT,64249581.93507,,2021-02-01 00:00:00+00:00,30,64249581.93507,27
ATOMUSDT,60481981.3956416,,2021-02-01 00:00:00+00:00,30,60481981.3956416,28
BANDUSDT,58696548.85010129,,2021-02-01 00:00:00+00:00,30,58696548.85010129,29
SNXUSDT,54245661.437612906,,2021-02-01 00:00:00+00:00,30,54245661.437612906,30
RSRUSDT,53083444.75634165,,2021-02-01 00:00:00+00:00,30,53083444.75634165,31
XMRUSDT,52876045.886306465,,2021-02-01 00:00:00+00:00,30,52876045.886306465,32
FILUSDT,49331251.81256773,,2021-02-01 00:00:00+00:00,30,49331251.81256773,33
THETAUSDT,49224866.99426516,,2021-02-01 00:00:00+00:00,30,49224866.99426516,34
NEOUSDT,48777090.20172129,,2021-02-01 00:00:00+00:00,30,48777090.20172129,35
COMPUSDT,47673968.466460966,,2021-02-01 00:00:00+00:00,30,47673968.466460966,36
LRCUSDT,45287163.58697548,,2021-02-01 00:00:00+00:00,30,45287163.58697548,37
DASHUSDT,43451811.95094291,,2021-02-01 00:00:00+00:00,30,43451811.95094291,38
ALGOUSDT,42362777.58994742,,2021-02-01 00:00:00+00:00,30,42362777.58994742,39
ZILUSDT,41850108.351049684,,2021-02-01 00:00:00+00:00,30,41850108.351049684,40
