symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,13976787690.15646,,2024-06-01 00:00:00+00:00,30,13976787690.15646,1
ETHUSDT,8462252086.579127,,2024-06-01 00:00:00+00:00,30,8462252086.579127,2
SOLUSDT,2381377977.503387,,2024-06-01 00:00:00+00:00,30,2381377977.503387,3
1000PEPEUSDT,1676392904.0804708,,2024-06-01 00:00:00+00:00,30,1676392904.0804708,4
DOGEUSDT,944974691.2595379,,2024-06-01 00:00:00+00:00,30,944974691.2595379,5
TRBUSDT,767092916.6381578,,2024-06-01 00:00:00+00:00,30,767092916.6381578,6
WIFUSDT,762107767.6377461,,2024-06-01 00:00:00+00:00,30,762107767.6377461,7
PEOPLEUSDT,670766183.2782522,,2024-06-01 00:00:00+00:00,30,670766183.2782522,8
WLDUSDT,429621669.4141677,,2024-06-01 00:00:00+00:00,30,429621669.4141677,9
BNBUSDT,412366721.62587106,,2024-06-01 00:00:00+00:00,30,412366721.62587106,10
ORDIUSDT,396018277.4737613,,2024-06-01 00:00:00+00:00,30,396018277.4737613,11
1000SHIBUSDT,380281387.62499946,,2024-06-01 00:00:00+00:00,30,380281387.62499946,12
1000BONKUSDT,378820612.60778755,,2024-06-01 00:00:00+00:00,30,378820612.60778755,13
ENAUSDT,367022269.5400644,,2024-06-01 00:00:00+00:00,30,367022269.5400644,14
XRPUSDT,362170143.47589093,,2024-06-01 00:00:00+00:00,30,362170143.47589093,15
BOMEUSDT,333784834.1378165,,2024-06-01 00:00:00+00:00,30,333784834.1378165,16
NEARUSDT,315888012.977,,2024-06-01 00:00:00+00:00,30,315888012.977,17
LINKUSDT,280922863.86071193,,2024-06-01 00:00:00+00:00,30,280922863.86071193,18
1000FLOKIUSDT,276179564.12291646,,2024-06-01 00:00:00+00:00,30,276179564.12291646,19
ETHFIUSDT,266118006.8167032,,2024-06-01 00:00:00+00:00,30,266118006.8167032,20
ETCUSDT,226866925.51284158,,2024-06-01 00:00:00+00:00,30,226866925.51284158,21
AVAXUSDT,226774346.69577417,,2024-06-01 00:00:00+00:00,30,226774346.69577417,22
ARBUSDT,221625587.9018955,,2024-06-01 00:00:00+00:00,30,221625587.9018955,23
OPUSDT,198823726.8981229,,2024-06-01 00:00:00+00:00,30,198823726.8981229,24
JTOUSDT,192414107.30248392,,2024-06-01 00:00:00+00:00,30,192414107.30248392,25
BCHUSDT,191723454.22572324,,2024-06-01 00:00:00+00:00,30,191723454.22572324,26
ONDOUSDT,190083728.65932164,,2024-06-01 00:00:00+00:00,30,190083728.65932164,27
FILUSDT,184683901.78456455,,2024-06-01 00:00:00+00:00,30,184683901.78456455,28
ADAUSDT,181013128.80639353,,2024-06-01 00:00:00+00:00,30,181013128.80639353,29
UMAUSDT,180175440.95554835,,2024-06-01 00:00:00+00:00,30,180175440.95554835,30
GALAUSDT,168501645.02444518,,2024-06-01 00:00:00+00:00,30,168501645.02444518,31
SUIUSDT,166873454.5566997,,2024-06-01 00:00:00+00:00,30,166873454.5566997,32
AEVOUSDT,163801971.51841384,,2024-06-01 00:00:00+00:00,30,163801971.51841384,33
FETUSDT,162257664.31487426,,2024-06-01 00:00:00+00:00,30,162257664.31487426,34
WUSDT,152953166.67472327,,2024-06-01 00:00:00+00:00,30,152953166.67472327,35
LTCUSDT,140201620.87551934,,2024-06-01 00:00:00+00:00,30,140201620.87551934,36
DOTUSDT,138978520.94483867,,2024-06-01 00:00:00+00:00,30,138978520.94483867,37
ARUSDT,137587807.366,,2024-06-01 00:00:00+00:00,30,137587807.366,38
TIAUSDT,131309114.77588387,,2024-06-01 00:00:00+00:00,30,131309114.77588387,39
TONUSDT,130884644.87015644,,2024-06-01 00:00:00+00:00,30,130884644.87015644,40
