symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,14938362534.472961,,2022-06-01 00:00:00+00:00,30,14938362534.472961,1
ETHUSDT,5564118060.234258,,2022-06-01 00:00:00+00:00,30,5564118060.234258,2
GMTUSDT,2589890222.6230063,,2022-06-01 00:00:00+00:00,30,2589890222.6230063,3
APEUSDT,1483692936.0977094,,2022-06-01 00:00:00+00:00,30,1483692936.0977094,4
SOLUSDT,1176315722.1641934,,2022-06-01 00:00:00+00:00,30,1176315722.1641934,5
NEARUSDT,811246868.5602387,,2022-06-01 00:00:00+00:00,30,811246868.5602387,6
AVAXUSDT,777872425.8053547,,2022-06-01 00:00:00+00:00,30,777872425.8053547,7
TRXUSDT,743138586.5535518,,2022-06-01 00:00:00+00:00,30,743138586.5535518,8
ADAUSDT,602963283.1973937,,2022-06-01 00:00:00+00:00,30,602963283.1973937,9
BNBUSDT,572608627.9768126,,2022-06-01 00:00:00+00:00,30,572608627.9768126,10
ZILUSDT,526209853.16885877,,2022-06-01 00:00:00+00:00,30,526209853.16885877,11
XRPUSDT,469380009.78255516,,2022-06-01 00:00:00+00:00,30,469380009.78255516,12
DOTUSDT,416367704.70333874,,2022-06-01 00:00:00+00:00,30,416367704.70333874,13
GALAUSDT,406626981.68538094,,2022-06-01 00:00:00+00:00,30,406626981.68538094,14
KNCUSDT,402280102.19980645,,2022-06-01 00:00:00+00:00,30,402280102.19980645,15
AXSUSDT,399015841.2240001,,2022-06-01 00:00:00+00:00,30,399015841.2240001,16
SANDUSDT,396401758.28216124,,2022-06-01 00:00:00+00:00,30,396401758.28216124,17
DOGEUSDT,377286849.213288,,2022-06-01 00:00:00+00:00,30,377286849.213288,18
PEOPLEUSDT,363342202.4741823,,2022-06-01 00:00:00+00:00,30,363342202.4741823,19
1000SHIBUSDT,326655192.99782205,,2022-06-01 00:00:00+00:00,30,326655192.99782205,20
ENSUSDT,303868709.9991516,,2022-06-01 00:00:00+00:00,30,303868709.9991516,21
MANAUSDT,302969075.65309995,,2022-06-01 00:00:00+00:00,30,302969075.65309995,22
ATOMUSDT,288423525.4418484,,2022-06-01 00:00:00+00:00,30,288423525.4418484,23
ETCUSDT,252126860.91280967,,2022-06-01 00:00:00+00:00,30,252126860.91280967,24
ALGOUSDT,240591944.2927936,,2022-06-01 00:00:00+00:00,30,240591944.2927936,25
BELUSDT,215022218.96991935,,2022-06-01 00:00:00+00:00,30,215022218.96991935,26
LTCUSDT,207875378.9648306,,2022-06-01 00:00:00+00:00,30,207875378.9648306,27
LINKUSDT,199005798.13080904,,2022-06-01 00:00:00+00:00,30,199005798.13080904,28
CRVUSDT,177659540.4416516,,2022-06-01 00:00:00+00:00,30,177659540.4416516,29
AAVEUSDT,176318105.25429028,,2022-06-01 00:00:00+00:00,30,176318105.25429028,30
RUNEUSDT,157476267.3523226,,2022-06-01 00:00:00+00:00,30,157476267.3523226,31
DYDXUSDT,153657369.58197418,,2022-06-01 00:00:00+00:00,30,153657369.58197418,32
FILUSDT,148672204.62236127,,2022-06-01 00:00:00+00:00,30,148672204.62236127,33
JASMYUSDT,146844839.17660937,,2022-06-01 00:00:00+00:00,30,146844839.17660937,34
XMRUSDT,131425897.82033615,,2022-06-01 00:00:00+00:00,30,131425897.82033615,35
LRCUSDT,130541187.9260145,,2022-06-01 00:00:00+00:00,30,130541187.9260145,36
BCHUSDT,128590906.89880225,,2022-06-01 00:00:00+00:00,30,128590906.89880225,37
RSRUSDT,123688574.79508868,,2022-06-01 00:00:00+00:00,30,123688574.79508868,38
ALICEUSDT,117730928.5220613,,2022-06-01 00:00:00+00:00,30,117730928.5220613,39
KAVAUSDT,117641009.3509229,,2022-06-01 00:00:00+00:00,30,117641009.3509229,40
