symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,2777131518.9734674,,2020-05-01 00:00:00+00:00,30,2777131518.9734674,1
ETHUSDT,372753724.0514771,,2020-05-01 00:00:00+00:00,30,372753724.0514771,2
LINKUSDT,110378024.88974227,,2020-05-01 00:00:00+00:00,30,110378024.88974227,3
BCHUSDT,95326982.68863744,,2020-05-01 00:00:00+00:00,30,95326982.68863744,4
XTZUSDT,54460576.23992258,,2020-05-01 00:00:00+00:00,30,54460576.23992258,5
LTCUSDT,33162727.146125488,,2020-05-01 00:00:00+00:00,30,33162727.146125488,6
BNBUSDT,30856259.658067744,,2020-05-01 00:00:00+00:00,30,30856259.658067744,7
XRPUSDT,30258687.850896135,,2020-05-01 00:00:00+00:00,30,30258687.850896135,8
ETCUSDT,22397122.55866452,,2020-05-01 00:00:00+00:00,30,22397122.55866452,9
