symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,15647081574.676615,,2025-07-01 00:00:00+00:00,30,15647081574.676615,1
ETHUSDT,14808300641.140123,,2025-07-01 00:00:00+00:00,30,14808300641.140123,2
SOLUSDT,3251935836.441371,,2025-07-01 00:00:00+00:00,30,3251935836.441371,3
XRPUSDT,1219774145.1068585,,2025-07-01 00:00:00+00:00,30,1219774145.1068585,4
1000PEPEUSDT,1205658771.0664961,,2025-07-01 00:00:00+00:00,30,1205658771.0664961,5
DOGEUSDT,920178745.773696,,2025-07-01 00:00:00+00:00,30,920178745.773696,6
SUIUSDT,642116162.4225619,,2025-07-01 00:00:00+00:00,30,642116162.4225619,7
FARTCOINUSDT,581151798.2777383,,2025-07-01 00:00:00+00:00,30,581151798.2777383,8
WIFUSDT,365285296.4843078,,2025-07-01 00:00:00+00:00,30,365285296.4843078,9
HYPEUSDT,356576894.9219487,,2025-07-01 00:00:00+00:00,30,356576894.9219487,10
AAVEUSDT,354021632.7953225,,2025-07-01 00:00:00+00:00,30,354021632.7953225,11
ADAUSDT,351537676.1676516,,2025-07-01 00:00:00+00:00,30,351537676.1676516,12
FUNUSDT,334562694.40337265,,2025-07-01 00:00:00+00:00,30,334562694.40337265,13
UNIUSDT,325775896.96054834,,2025-07-01 00:00:00+00:00,30,325775896.96054834,14
ENAUSDT,298183078.74962914,,2025-07-01 00:00:00+00:00,30,298183078.74962914,15
TRUMPUSDT,293543060.06553257,,2025-07-01 00:00:00+00:00,30,293543060.06553257,16
BNBUSDT,276262397.8097742,,2025-07-01 00:00:00+00:00,30,276262397.8097742,17
LINKUSDT,251309459.24710676,,2025-07-01 00:00:00+00:00,30,251309459.24710676,18
BCHUSDT,244114164.15211225,,2025-07-01 00:00:00+00:00,30,244114164.15211225,19
MASKUSDT,240875487.96694192,,2025-07-01 00:00:00+00:00,30,240875487.96694192,20
AVAXUSDT,233330269.45187098,,2025-07-01 00:00:00+00:00,30,233330269.45187098,21
VIRTUALUSDT,206365774.90859422,,2025-07-01 00:00:00+00:00,30,206365774.90859422,22
RVNUSDT,203442598.3594226,,2025-07-01 00:00:00+00:00,30,203442598.3594226,23
LPTUSDT,202157670.02923226,,2025-07-01 00:00:00+00:00,30,202157670.02923226,24
SEIUSDT,188782080.61245483,,2025-07-01 00:00:00+00:00,30,188782080.61245483,25
TRBUSDT,177069532.48159352,,2025-07-01 00:00:00+00:00,30,177069532.48159352,26
ANIMEUSDT,169899589.43648937,,2025-07-01 00:00:00+00:00,30,169899589.43648937,27
OPUSDT,152040339.47676224,,2025-07-01 00:00:00+00:00,30,152040339.47676224,28
LTCUSDT,150946350.9456513,,2025-07-01 00:00:00+00:00,30,150946350.9456513,29
MOODENGUSDT,147951144.78571063,,2025-07-01 00:00:00+00:00,30,147951144.78571063,30
SPXUSDT,145754808.4633742,,2025-07-01 00:00:00+00:00,30,145754808.4633742,31
WLDUSDT,144142392.61038712,,2025-07-01 00:00:00+00:00,30,144142392.61038712,32
BANANAS31USDT,142046859.60885593,,2025-07-01 00:00:00+00:00,30,142046859.60885593,33
PENGUUSDT,137225171.42950836,,2025-07-01 00:00:00+00:00,30,137225171.42950836,34
WCTUSDT,136553796.3523516,,2025-07-01 00:00:00+00:00,30,136553796.3523516,35
NEIROUSDT,132034279.35845152,,2025-07-01 00:00:00+00:00,30,132034279.35845152,36
ARBUSDT,129670447.4259484,,2025-07-01 00:00:00+00:00,30,129670447.4259484,37
DOTUSDT,129619229.27419999,,2025-07-01 00:00:00+00:00,30,129619229.27419999,38
SOPHUSDT,128832581.14256175,,2025-07-01 00:00:00+00:00,30,128832581.14256175,39
TAOUSDT,128711227.50824419,,2025-07-01 00:00:00+00:00,30,128711227.50824419,40
