symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,16527987848.286453,,2021-04-01 00:00:00+00:00,30,16527987848.286453,1
ETHUSDT,4143087571.232451,,2021-04-01 00:00:00+00:00,30,4143087571.232451,2
BNBUSDT,1429191282.6165597,,2021-04-01 00:00:00+00:00,30,1429191282.6165597,3
ADAUSDT,1038736856.0406669,,2021-04-01 00:00:00+00:00,30,1038736856.0406669,4
FILUSDT,725852212.2592096,,2021-04-01 00:00:00+00:00,30,725852212.2592096,5
CHZUSDT,725671139.2300076,,2021-04-01 00:00:00+00:00,30,725671139.2300076,6
XRPUSDT,699061334.2415545,,2021-04-01 00:00:00+00:00,30,699061334.2415545,7
DOTUSDT,528205082.26782256,,2021-04-01 00:00:00+00:00,30,528205082.26782256,8
LTCUSDT,500556319.6477422,,2021-04-01 00:00:00+00:00,30,500556319.6477422,9
UNIUSDT,336152515.2398419,,2021-04-01 00:00:00+00:00,30,336152515.2398419,10
THETAUSDT,329787498.5932847,,2021-04-01 00:00:00+00:00,30,329787498.5932847,11
LINKUSDT,329711757.66088456,,2021-04-01 00:00:00+00:00,30,329711757.66088456,12
TRXUSDT,293939828.38547415,,2021-04-01 00:00:00+00:00,30,293939828.38547415,13
ENJUSDT,289488328.9659144,,2021-04-01 00:00:00+00:00,30,289488328.9659144,14
BCHUSDT,229651221.33251324,,2021-04-01 00:00:00+00:00,30,229651221.33251324,15
SXPUSDT,226371439.89056352,,2021-04-01 00:00:00+00:00,30,226371439.89056352,16
AVAXUSDT,220357716.32193226,,2021-04-01 00:00:00+00:00,30,220357716.32193226,17
SUSHIUSDT,218456508.7750032,,2021-04-01 00:00:00+00:00,30,218456508.7750032,18
STORJUSDT,207419423.05781937,,2021-04-01 00:00:00+00:00,30,207419423.05781937,19
VETUSDT,170165158.6065015,,2021-04-01 00:00:00+00:00,30,170165158.6065015,20
ANKRUSDT,159640982.11257666,,2021-04-01 00:00:00+00:00,30,159640982.11257666,21
DOGEUSDT,149708804.67769858,,2021-04-01 00:00:00+00:00,30,149708804.67769858,22
AAVEUSDT,146638699.44405162,,2021-04-01 00:00:00+00:00,30,146638699.44405162,23
XLMUSDT,144128879.62721482,,2021-04-01 00:00:00+00:00,30,144128879.62721482,24
SOLUSDT,122559435.84330969,,2021-04-01 00:00:00+00:00,30,122559435.84330969,25
ETCUSDT,115996074.14624292,,2021-04-01 00:00:00+00:00,30,115996074.14624292,26
SKLUSDT,109636864.89840677,,2021-04-01 00:00:00+00:00,30,109636864.89840677,27
CRVUSDT,108006205.90139036,,2021-04-01 00:00:00+00:00,30,108006205.90139036,28
GRTUSDT,101119057.94807678,,2021-04-01 00:00:00+00:00,30,101119057.94807678,29
ALGOUSDT,99861997.84706225,,2021-04-01 00:00:00+00:00,30,99861997.84706225,30
1INCHUSDT,99402253.03106774,,2021-04-01 00:00:00+00:00,30,99402253.03106774,31
KSMUSDT,98034110.88978386,,2021-04-01 00:00:00+00:00,30,98034110.88978386,32
BATUSDT,93582595.12985162,,2021-04-01 00:00:00+00:00,30,93582595.12985162,33
KAVAUSDT,93003896.62117292,,2021-04-01 00:00:00+00:00,30,93003896.62117292,34
ONTUSDT,90505830.50043614,,2021-04-01 00:00:00+00:00,30,90505830.50043614,35
XTZUSDT,84570713.00131613,,2021-04-01 00:00:00+00:00,30,84570713.00131613,36
ATOMUSDT,84317154.31674966,,2021-04-01 00:00:00+00:00,30,84317154.31674966,37
SANDUSDT,79008625.28900452,,2021-04-01 00:00:00+00:00,30,79008625.28900452,38
SFPUSDT,76145376.2934871,,2021-04-01 00:00:00+00:00,30,76145376.2934871,39
IOSTUSDT,74868288.83451425,,2021-04-01 00:00:00+00:00,30,74868288.83451425,40
