symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,1922503139.5354226,,2020-08-01 00:00:00+00:00,30,1922503139.5354226,1
ETHUSDT,463431743.2566619,,2020-08-01 00:00:00+00:00,30,463431743.2566619,2
LINKUSDT,229980258.69842777,,2020-08-01 00:00:00+00:00,30,229980258.69842777,3
ADAUSDT,136851729.3951161,,2020-08-01 00:00:00+00:00,30,136851729.3951161,4
VETUSDT,84442170.51914759,,2020-08-01 00:00:00+00:00,30,84442170.51914759,5
XRPUSDT,84325151.00149354,,2020-08-01 00:00:00+00:00,30,84325151.00149354,6
XTZUSDT,79454942.31715482,,2020-08-01 00:00:00+00:00,30,79454942.31715482,7
BCHUSDT,77058587.02019514,,2020-08-01 00:00:00+00:00,30,77058587.02019514,8
XLMUSDT,60798705.857091926,,2020-08-01 00:00:00+00:00,30,60798705.857091926,9
LTCUSDT,58086884.74390711,,2020-08-01 00:00:00+00:00,30,58086884.74390711,10
BNBUSDT,37679593.85861387,,2020-08-01 00:00:00+00:00,30,37679593.85861387,11
ATOMUSDT,26403561.064750325,,2020-08-01 00:00:00+00:00,30,26403561.064750325,12
ETCUSDT,26320693.64652161,,2020-08-01 00:00:00+00:00,30,26320693.64652161,13
TRXUSDT,22180668.787471935,,2020-08-01 00:00:00+00:00,30,22180668.787471935,14
KNCUSDT,22007487.844947416,,2020-08-01 00:00:00+00:00,30,22007487.844947416,15
ALGOUSDT,20551593.219278388,,2020-08-01 00:00:00+00:00,30,20551593.219278388,16
COMPUSDT,19074355.314969677,,2020-08-01 00:00:00+00:00,30,19074355.314969677,17
ZECUSDT,18793882.61404355,,2020-08-01 00:00:00+00:00,30,18793882.61404355,18
ONTUSDT,17776627.264827415,,2020-08-01 00:00:00+00:00,30,17776627.264827415,19
IOSTUSDT,17039628.56891119,,2020-08-01 00:00:00+00:00,30,17039628.56891119,20
