symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,14461871842.711105,,2022-02-01 00:00:00+00:00,30,14461871842.711105,1
ETHUSDT,5836303382.630821,,2022-02-01 00:00:00+00:00,30,5836303382.630821,2
ATOMUSDT,1165569401.0261643,,2022-02-01 00:00:00+00:00,30,1165569401.0261643,3
SOLUSDT,1019215932.2374192,,2022-02-01 00:00:00+00:00,30,1019215932.2374192,4
NEARUSDT,999564429.5890065,,2022-02-01 00:00:00+00:00,30,999564429.5890065,5
ADAUSDT,979738242.4503418,,2022-02-01 00:00:00+00:00,30,979738242.4503418,6
LINKUSDT,794313351.967284,,2022-02-01 00:00:00+00:00,30,794313351.967284,7
SANDUSDT,747434926.3947346,,2022-02-01 00:00:00+00:00,30,747434926.3947346,8
DOGEUSDT,645395128.3319726,,2022-02-01 00:00:00+00:00,30,645395128.3319726,9
DOTUSDT,609262068.2201419,,2022-02-01 00:00:00+00:00,30,609262068.2201419,10
BNBUSDT,599742643.597499,,2022-02-01 00:00:00+00:00,30,599742643.597499,11
1000SHIBUSDT,536665399.35885954,,2022-02-01 00:00:00+00:00,30,536665399.35885954,12
MANAUSDT,493279636.45203227,,2022-02-01 00:00:00+00:00,30,493279636.45203227,13
AVAXUSDT,480233948.32748395,,2022-02-01 00:00:00+00:00,30,480233948.32748395,14
GALAUSDT,451250350.9916809,,2022-02-01 00:00:00+00:00,30,451250350.9916809,15
ONEUSDT,431796912.4552416,,2022-02-01 00:00:00+00:00,30,431796912.4552416,16
XRPUSDT,416444226.1580861,,2022-02-01 00:00:00+00:00,30,416444226.1580861,17
CRVUSDT,358792566.7766323,,2022-02-01 00:00:00+00:00,30,358792566.7766323,18
PEOPLEUSDT,322723545.0406206,,2022-02-01 00:00:00+00:00,30,322723545.0406206,19
LTCUSDT,294084578.4793974,,2022-02-01 00:00:00+00:00,30,294084578.4793974,20
SUSHIUSDT,287671388.52177423,,2022-02-01 00:00:00+00:00,30,287671388.52177423,21
LRCUSDT,266289856.4131942,,2022-02-01 00:00:00+00:00,30,266289856.4131942,22
DYDXUSDT,248258343.76471615,,2022-02-01 00:00:00+00:00,30,248258343.76471615,23
ROSEUSDT,247361244.55211422,,2022-02-01 00:00:00+00:00,30,247361244.55211422,24
AXSUSDT,227046903.01000002,,2022-02-01 00:00:00+00:00,30,227046903.01000002,25
FILUSDT,174639744.23407093,,2022-02-01 00:00:00+00:00,30,174639744.23407093,26
AAVEUSDT,170779770.9116774,,2022-02-01 00:00:00+00:00,30,170779770.9116774,27
THETAUSDT,165585413.90788063,,2022-02-01 00:00:00+00:00,30,165585413.90788063,28
ALICEUSDT,163520978.2750677,,2022-02-01 00:00:00+00:00,30,163520978.2750677,29
ALGOUSDT,144752757.01364005,,2022-02-01 00:00:00+00:00,30,144752757.01364005,30
YFIUSDT,142979241.70441934,,2022-02-01 00:00:00+00:00,30,142979241.70441934,31
XTZUSDT,142569158.19324514,,2022-02-01 00:00:00+00:00,30,142569158.19324514,32
CHRUSDT,140885565.18664518,,2022-02-01 00:00:00+00:00,30,140885565.18664518,33
CELRUSDT,132672679.52759936,,2022-02-01 00:00:00+00:00,30,132672679.52759936,34
ETCUSDT,130290016.98671903,,2022-02-01 00:00:00+00:00,30,130290016.98671903,35
UNIUSDT,126805868.60922581,,2022-02-01 00:00:00+00:00,30,126805868.60922581,36
VETUSDT,120257849.10116775,,2022-02-01 00:00:00+00:00,30,120257849.10116775,37
ENJUSDT,119246055.63143547,,2022-02-01 00:00:00+00:00,30,119246055.63143547,38
BCHUSDT,106060108.35558549,,2022-02-01 00:00:00+00:00,30,106060108.35558549,39
KAVAUSDT,102540931.17118292,,2022-02-01 00:00:00+00:00,30,102540931.17118292,40
