symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,27447909436.98681,,2021-07-01 00:00:00+00:00,30,27447909436.98681,1
ETHUSDT,9246195446.613012,,2021-07-01 00:00:00+00:00,30,9246195446.613012,2
DOGEUSDT,2040452379.4707968,,2021-07-01 00:00:00+00:00,30,2040452379.4707968,3
BNBUSDT,1797301316.3138556,,2021-07-01 00:00:00+00:00,30,1797301316.3138556,4
XRPUSDT,1337638822.40513,,2021-07-01 00:00:00+00:00,30,1337638822.40513,5
ADAUSDT,993660140.1217523,,2021-07-01 00:00:00+00:00,30,993660140.1217523,6
ETCUSDT,666814134.5315459,,2021-07-01 00:00:00+00:00,30,666814134.5315459,7
DOTUSDT,589122368.4662613,,2021-07-01 00:00:00+00:00,30,589122368.4662613,8
SOLUSDT,583558597.9860322,,2021-07-01 00:00:00+00:00,30,583558597.9860322,9
LINKUSDT,464559059.3585316,,2021-07-01 00:00:00+00:00,30,464559059.3585316,10
LTCUSDT,457327471.226783,,2021-07-01 00:00:00+00:00,30,457327471.226783,11
FILUSDT,350857265.7664549,,2021-07-01 00:00:00+00:00,30,350857265.7664549,12
1000SHIBUSDT,347158379.0458824,,2021-07-01 00:00:00+00:00,30,347158379.0458824,13
THETAUSDT,304665426.32165354,,2021-07-01 00:00:00+00:00,30,304665426.32165354,14
CHZUSDT,297316008.5184542,,2021-07-01 00:00:00+00:00,30,297316008.5184542,15
BCHUSDT,289707685.16999227,,2021-07-01 00:00:00+00:00,30,289707685.16999227,16
KSMUSDT,204203602.0870968,,2021-07-01 00:00:00+00:00,30,204203602.0870968,17
VETUSDT,197091749.78932363,,2021-07-01 00:00:00+00:00,30,197091749.78932363,18
TRXUSDT,171819317.45840424,,2021-07-01 00:00:00+00:00,30,171819317.45840424,19
AAVEUSDT,163070362.16449034,,2021-07-01 00:00:00+00:00,30,163070362.16449034,20
XLMUSDT,144861615.0903526,,2021-07-01 00:00:00+00:00,30,144861615.0903526,21
UNIUSDT,142801245.498129,,2021-07-01 00:00:00+00:00,30,142801245.498129,22
SXPUSDT,139259445.2230074,,2021-07-01 00:00:00+00:00,30,139259445.2230074,23
RUNEUSDT,130880449.89656128,,2021-07-01 00:00:00+00:00,30,130880449.89656128,24
SUSHIUSDT,126886514.61735484,,2021-07-01 00:00:00+00:00,30,126886514.61735484,25
1INCHUSDT,114319557.65536131,,2021-07-01 00:00:00+00:00,30,114319557.65536131,26
CRVUSDT,108029047.53962256,,2021-07-01 00:00:00+00:00,30,108029047.53962256,27
YFIUSDT,90420617.82846129,,2021-07-01 00:00:00+00:00,30,90420617.82846129,28
ENJUSDT,79595685.42918807,,2021-07-01 00:00:00+00:00,30,79595685.42918807,29
RLCUSDT,72236944.8253,,2021-07-01 00:00:00+00:00,30,72236944.8253,30
AVAXUSDT,71888921.90667742,,2021-07-01 00:00:00+00:00,30,71888921.90667742,31
KAVAUSDT,70424293.83097453,,2021-07-01 00:00:00+00:00,30,70424293.83097453,32
NEOUSDT,69380425.34217806,,2021-07-01 00:00:00+00:00,30,69380425.34217806,33
XTZUSDT,66911498.02878065,,2021-07-01 00:00:00+00:00,30,66911498.02878065,34
XMRUSDT,65284674.42671904,,2021-07-01 00:00:00+00:00,30,65284674.42671904,35
QTUMUSDT,63904403.721087106,,2021-07-01 00:00:00+00:00,30,63904403.721087106,36
ATOMUSDT,59597537.24824547,,2021-07-01 00:00:00+00:00,30,59597537.24824547,37
ZECUSDT,58424410.997900955,,2021-07-01 00:00:00+00:00,30,58424410.997900955,38
ALICEUSDT,57226895.268796764,,2021-07-01 00:00:00+00:00,30,57226895.268796764,39
GRTUSDT,52796150.25121161,,2021-07-01 00:00:00+00:00,30,52796150.25121161,40
