symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,2294087901.523264,,2020-10-01 00:00:00+00:00,30,2294087901.523264,1
ETHUSDT,920856392.0515411,,2020-10-01 00:00:00+00:00,30,920856392.0515411,2
LINKUSDT,348866993.3079123,,2020-10-01 00:00:00+00:00,30,348866993.3079123,3
TRXUSDT,142323103.86885774,,2020-10-01 00:00:00+00:00,30,142323103.86885774,4
BNBUSDT,120435631.13027872,,2020-10-01 00:00:00+00:00,30,120435631.13027872,5
YFIUSDT,118423471.75335807,,2020-10-01 00:00:00+00:00,30,118423471.75335807,6
DOTUSDT,94854004.87292258,,2020-10-01 00:00:00+00:00,30,94854004.87292258,7
BCHUSDT,66119499.32184097,,2020-10-01 00:00:00+00:00,30,66119499.32184097,8
XRPUSDT,59686888.934974834,,2020-10-01 00:00:00+00:00,30,59686888.934974834,9
SXPUSDT,55610351.46136743,,2020-10-01 00:00:00+00:00,30,55610351.46136743,10
LTCUSDT,50707851.47072387,,2020-10-01 00:00:00+00:00,30,50707851.47072387,11
ADAUSDT,45249841.417846136,,2020-10-01 00:00:00+00:00,30,45249841.417846136,12
NEOUSDT,41654271.237530015,,2020-10-01 00:00:00+00:00,30,41654271.237530015,13
BANDUSDT,38543211.41395644,,2020-10-01 00:00:00+00:00,30,38543211.41395644,14
CRVUSDT,37967168.58458387,,2020-10-01 00:00:00+00:00,30,37967168.58458387,15
XTZUSDT,35667437.06640646,,2020-10-01 00:00:00+00:00,30,35667437.06640646,16
COMPUSDT,30391557.206442256,,2020-10-01 00:00:00+00:00,30,30391557.206442256,17
THETAUSDT,26943245.580004197,,2020-10-01 00:00:00+00:00,30,26943245.580004197,18
ATOMUSDT,24245030.29504774,,2020-10-01 00:00:00+00:00,30,24245030.29504774,19
ONTUSDT,23788090.648470003,,2020-10-01 00:00:00+00:00,30,23788090.648470003,20
VETUSDT,21663704.733994327,,2020-10-01 00:00:00+00:00,30,21663704.733994327,21
ALGOUSDT,19466655.272787742,,2020-10-01 00:00:00+00:00,30,19466655.272787742,22
ETCUSDT,19163300.39567935,,2020-10-01 00:00:00+00:00,30,19163300.39567935,23
ZECUSDT,19022643.180445485,,2020-10-01 00:00:00+00:00,30,19022643.180445485,24
IOSTUSDT,18891101.054710615,,2020-10-01 00:00:00+00:00,30,18891101.054710615,25
RLCUSDT,18410807.383838706,,2020-10-01 00:00:00+00:00,30,18410807.383838706,26
XMRUSDT,16200805.996910322,,2020-10-01 00:00:00+00:00,30,16200805.996910322,27
SNXUSDT,15079865.288241938,,2020-10-01 00:00:00+00:00,30,15079865.288241938,28
