symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,12793199583.098158,,2023-07-01 00:00:00+00:00,30,12793199583.098158,1
ETHUSDT,5457171628.951112,,2023-07-01 00:00:00+00:00,30,5457171628.951112,2
BCHUSDT,1009073540.8624603,,2023-07-01 00:00:00+00:00,30,1009073540.8624603,3
1000PEPEUSDT,804154955.6376184,,2023-07-01 00:00:00+00:00,30,804154955.6376184,4
XRPUSDT,772900276.818663,,2023-07-01 00:00:00+00:00,30,772900276.818663,5
BNBUSDT,627552190.5578253,,2023-07-01 00:00:00+00:00,30,627552190.5578253,6
SOLUSDT,593962175.8741935,,2023-07-01 00:00:00+00:00,30,593962175.8741935,7
LTCUSDT,592733139.8936039,,2023-07-01 00:00:00+00:00,30,592733139.8936039,8
SUIUSDT,428842743.2254049,,2023-07-01 00:00:00+00:00,30,428842743.2254049,9
MTLUSDT,388104719.3938871,,2023-07-01 00:00:00+00:00,30,388104719.3938871,10
ARBUSDT,351156026.0903761,,2023-07-01 00:00:00+00:00,30,351156026.0903761,11
ADAUSDT,344067881.90973544,,2023-07-01 00:00:00+00:00,30,344067881.90973544,12
OPUSDT,291756481.3299232,,2023-07-01 00:00:00+00:00,30,291756481.3299232,13
DOGEUSDT,283580278.8706423,,2023-07-01 00:00:00+00:00,30,283580278.8706423,14
CFXUSDT,277007544.92509997,,2023-07-01 00:00:00+00:00,30,277007544.92509997,15
APTUSDT,218230520.73046002,,2023-07-01 00:00:00+00:00,30,218230520.73046002,16
INJUSDT,206578958.82833546,,2023-07-01 00:00:00+00:00,30,206578958.82833546,17
STXUSDT,187375040.3093452,,2023-07-01 00:00:00+00:00,30,187375040.3093452,18
ETCUSDT,187077309.90973485,,2023-07-01 00:00:00+00:00,30,187077309.90973485,19
APEUSDT,177787335.7949355,,2023-07-01 00:00:00+00:00,30,177787335.7949355,20
1000LUNCUSDT,169996810.62568834,,2023-07-01 00:00:00+00:00,30,169996810.62568834,21
LINKUSDT,168645405.9148716,,2023-07-01 00:00:00+00:00,30,168645405.9148716,22
SANDUSDT,142847231.71229032,,2023-07-01 00:00:00+00:00,30,142847231.71229032,23
MASKUSDT,141516606.03467742,,2023-07-01 00:00:00+00:00,30,141516606.03467742,24
FILUSDT,140555787.18842903,,2023-07-01 00:00:00+00:00,30,140555787.18842903,25
1000SHIBUSDT,136575889.80871475,,2023-07-01 00:00:00+00:00,30,136575889.80871475,26
LDOUSDT,135987441.18563545,,2023-07-01 00:00:00+00:00,30,135987441.18563545,27
COMPUSDT,131550019.7174858,,2023-07-01 00:00:00+00:00,30,131550019.7174858,28
ARPAUSDT,131492694.35244612,,2023-07-01 00:00:00+00:00,30,131492694.35244612,29
DOTUSDT,122012279.21124195,,2023-07-01 00:00:00+00:00,30,122012279.21124195,30
NEARUSDT,120188515.96674193,,2023-07-01 00:00:00+00:00,30,120188515.96674193,31
AVAXUSDT,120085440.05174194,,2023-07-01 00:00:00+00:00,30,120085440.05174194,32
GALAUSDT,113277729.3753987,,2023-07-01 00:00:00+00:00,30,113277729.3753987,33
DYDXUSDT,111065295.73607743,,2023-07-01 00:00:00+00:00,30,111065295.73607743,34
AXSUSDT,93808984.40393549,,2023-07-01 00:00:00+00:00,30,93808984.40393549,35
KAVAUSDT,91920258.91479127,,2023-07-01 00:00:00+00:00,30,91920258.91479127,36
CRVUSDT,91432902.72984518,,2023-07-01 00:00:00+00:00,30,91432902.72984518,37
TRXUSDT,91212330.50803033,,2023-07-01 00:00:00+00:00,30,91212330.50803033,38
ATOMUSDT,83257988.96781032,,2023-07-01 00:00:00+00:00,30,83257988.96781032,39
AAVEUSDT,82342013.10235484,,2023-07-01 00:00:00+00:00,30,82342013.10235484,40
