symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,11602000983.792625,,2022-05-01 00:00:00+00:00,30,11602000983.792625,1
ETHUSDT,4811961162.344195,,2022-05-01 00:00:00+00:00,30,4811961162.344195,2
GMTUSDT,3952101082.946081,,2022-05-01 00:00:00+00:00,30,3952101082.946081,3
APEUSDT,2078206760.7218068,,2022-05-01 00:00:00+00:00,30,2078206760.7218068,4
NEARUSDT,1228739600.7482321,,2022-05-01 00:00:00+00:00,30,1228739600.7482321,5
SOLUSDT,1136327552.4067743,,2022-05-01 00:00:00+00:00,30,1136327552.4067743,6
DOGEUSDT,993476322.1604271,,2022-05-01 00:00:00+00:00,30,993476322.1604271,7
ZILUSDT,948641054.1876194,,2022-05-01 00:00:00+00:00,30,948641054.1876194,8
1000SHIBUSDT,544294080.8636392,,2022-05-01 00:00:00+00:00,30,544294080.8636392,9
AVAXUSDT,532606628.32538706,,2022-05-01 00:00:00+00:00,30,532606628.32538706,10
XRPUSDT,461730155.7980597,,2022-05-01 00:00:00+00:00,30,461730155.7980597,11
ADAUSDT,453772581.92824197,,2022-05-01 00:00:00+00:00,30,453772581.92824197,12
KNCUSDT,440650098.3255484,,2022-05-01 00:00:00+00:00,30,440650098.3255484,13
ETCUSDT,386060008.9954258,,2022-05-01 00:00:00+00:00,30,386060008.9954258,14
MTLUSDT,373826283.7848,,2022-05-01 00:00:00+00:00,30,373826283.7848,15
BNBUSDT,355918182.846452,,2022-05-01 00:00:00+00:00,30,355918182.846452,16
DOTUSDT,325743769.9059612,,2022-05-01 00:00:00+00:00,30,325743769.9059612,17
GALAUSDT,323547417.9851606,,2022-05-01 00:00:00+00:00,30,323547417.9851606,18
AXSUSDT,293104301.27625805,,2022-05-01 00:00:00+00:00,30,293104301.27625805,19
SANDUSDT,271981019.3257829,,2022-05-01 00:00:00+00:00,30,271981019.3257829,20
FILUSDT,263733703.49160647,,2022-05-01 00:00:00+00:00,30,263733703.49160647,21
ATOMUSDT,245712282.48759907,,2022-05-01 00:00:00+00:00,30,245712282.48759907,22
RUNEUSDT,228133622.44522578,,2022-05-01 00:00:00+00:00,30,228133622.44522578,23
AAVEUSDT,227831731.82925802,,2022-05-01 00:00:00+00:00,30,227831731.82925802,24
OGNUSDT,214992976.06797096,,2022-05-01 00:00:00+00:00,30,214992976.06797096,25
LINKUSDT,188663510.30661553,,2022-05-01 00:00:00+00:00,30,188663510.30661553,26
LTCUSDT,180304671.11002034,,2022-05-01 00:00:00+00:00,30,180304671.11002034,27
ZRXUSDT,173060496.705751,,2022-05-01 00:00:00+00:00,30,173060496.705751,28
TRXUSDT,169148479.70102388,,2022-05-01 00:00:00+00:00,30,169148479.70102388,29
MANAUSDT,153262329.36617094,,2022-05-01 00:00:00+00:00,30,153262329.36617094,30
XMRUSDT,151576180.83982936,,2022-05-01 00:00:00+00:00,30,151576180.83982936,31
CRVUSDT,136382325.13096452,,2022-05-01 00:00:00+00:00,30,136382325.13096452,32
ENSUSDT,133241385.46270968,,2022-05-01 00:00:00+00:00,30,133241385.46270968,33
KAVAUSDT,130604471.01869677,,2022-05-01 00:00:00+00:00,30,130604471.01869677,34
ALICEUSDT,129021904.22190322,,2022-05-01 00:00:00+00:00,30,129021904.22190322,35
PEOPLEUSDT,127319077.11985032,,2022-05-01 00:00:00+00:00,30,127319077.11985032,36
BCHUSDT,126916449.84621744,,2022-05-01 00:00:00+00:00,30,126916449.84621744,37
ZECUSDT,125296137.09643805,,2022-05-01 00:00:00+00:00,30,125296137.09643805,38
DYDXUSDT,124056790.34960324,,2022-05-01 00:00:00+00:00,30,124056790.34960324,39
THETAUSDT,122128853.45843224,,2022-05-01 00:00:00+00:00,30,122128853.45843224,40
