symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,2266666414.170538,,2020-04-01 00:00:00+00:00,30,2266666414.170538,1
ETHUSDT,327806962.92754024,,2020-04-01 00:00:00+00:00,30,327806962.92754024,2
BCHUSDT,121607491.69958064,,2020-04-01 00:00:00+00:00,30,121607491.69958064,3
LINKUSDT,94119184.66950162,,2020-04-01 00:00:00+00:00,30,94119184.66950162,4
LTCUSDT,49310802.158472575,,2020-04-01 00:00:00+00:00,30,49310802.158472575,5
ETCUSDT,47346326.81362935,,2020-04-01 00:00:00+00:00,30,47346326.81362935,6
XTZUSDT,43262234.10712904,,2020-04-01 00:00:00+00:00,30,43262234.10712904,7
XRPUSDT,41245187.56244226,,2020-04-01 00:00:00+00:00,30,41245187.56244226,8
BNBUSDT,33505776.91215323,,2020-04-01 00:00:00+00:00,30,33505776.91215323,9
