symbol,avg_volume_30d,avg_trades_30d,as_of,lookback_days,liquidity_score,rank
BTCUSDT,1516279579.310073,,2020-03-01 00:00:00+00:00,30,1516279579.310073,1
ETHUSDT,347708413.07805616,,2020-03-01 00:00:00+00:00,30,347708413.07805616,2
BCHUSDT,166464312.51013196,,2020-03-01 00:00:00+00:00,30,166464312.51013196,3
ETCUSDT,88352691.31186034,,2020-03-01 00:00:00+00:00,30,88352691.31186034,4
LTCUSDT,83640824.02226515,,2020-03-01 00:00:00+00:00,30,83640824.02226515,5
XRPUSDT,78021213.97281224,,2020-03-01 00:00:00+00:00,30,78021213.97281224,6
LINKUSDT,69112905.89858711,,2020-03-01 00:00:00+00:00,30,69112905.89858711,7
TRXUSDT,36304456.82087968,,2020-03-01 00:00:00+00:00,30,36304456.82087968,8
ADAUSDT,21901175.058124516,,2020-03-01 00:00:00+00:00,30,21901175.058124516,9
