date,capital,gross_return,net_return,turnover,commission_cost,positions,universe_size
2019-11-03,1000.0,0.0,0.0,0.0,0.0,0,0
2019-11-10,1000.0,0.0,0.0,0.0,0.0,0,0
2019-11-17,1000.0,0.0,0.0,0.0,0.0,0,0
2019-11-24,1000.0,0.0,0.0,0.0,0.0,0,0
2019-12-01,1015.5378204180643,0.016027820418064265,0.015537820418064265,0.98,0.00049,1,1
2019-12-08,963.4183668115254,-0.05132202125675924,-0.05132202125675924,0.0,0.0,1,1
2019-12-15,1014.8947783078651,0.05343100491918482,0.05343100491918482,0.0,0.0,1,1
2019-12-22,999.086842428641,-0.015575935769007223,-0.015575935769007223,0.0,0.0,1,1
2019-12-29,995.2002155013064,-0.003890179273992553,-0.003890179273992553,0.0,0.0,1,1
2020-01-05,1105.5807310625448,0.11091287345193875,0.11091287345193875,0.0,0.0,1,1
2020-01-12,1174.2876571500403,0.062145553153285266,0.062145553153285266,0.0,0.0,1,1
2020-01-19,1161.7774608802645,-0.01065343418505958,-0.01065343418505958,0.0,0.0,1,1
2020-01-26,1257.8973539451924,0.08273520213767879,0.08273520213767879,0.0,0.0,1,1
2020-02-02,1518.4558720015789,0.20811813988016326,0.20713813988016325,1.96,0.00098,1,2
2020-02-09,1715.205620909887,0.12957225332400288,0.12957225332400288,0.0,0.0,1,2
2020-02-16,1817.7985974392984,0.05981380615753089,0.05981380615753089,0.0,0.0,1,2
2020-02-23,1450.3156573282836,-0.20215822623511853,-0.20215822623511853,0.0,0.0,1,2
2020-03-01,1329.901072735667,-0.0830264666758406,-0.0830264666758406,0.0,0.0,1,3
2020-03-08,835.790238670296,-0.3715395409441716,-0.3715395409441716,0.0,0.0,1,3
2020-03-15,904.2068748884055,0.0828386208029389,0.0818586208029389,1.96,0.00098,1,3
2020-03-22,914.287941869496,0.011149071369684628,0.011149071369684628,0.0,0.0,1,3
2020-03-29,1050.3944224498553,0.14886610043445905,0.14886610043445905,0.0,0.0,1,3
2020-04-05,1070.4106519118347,0.019055917505060062,0.019055917505060062,0.0,0.0,1,9
2020-04-12,1122.825745654568,0.04994727592267132,0.04896727592267132,1.96,0.00098,1,9
2020-04-19,1164.2275979817973,0.03687290969899668,0.03687290969899668,0.0,0.0,1,9
2020-04-26,1162.0823921472138,-0.0018426000537199805,-0.0018426000537199805,0.0,0.0,1,9
2020-05-03,1086.047192625135,-0.06445012787723793,-0.06543012787723793,1.96,0.00098,1,9
2020-05-10,1113.9352875284462,0.02567852952678932,0.02567852952678932,0.0,0.0,1,9
2020-05-17,1003.7520765232813,-0.09793347570973798,-0.09891347570973798,1.96,0.00098,1,9
2020-05-24,1057.101138943917,0.05412964090079111,0.053149640900791106,1.96,0.00098,1,9
2020-05-31,1111.2093863499654,0.052165497217517454,0.05118549721751745,1.96,0.00098,1,9
2020-06-07,1053.4144768872347,-0.05103081827842721,-0.05201081827842721,1.96,0.00098,1,9
2020-06-14,1036.3214734402616,-0.016226284925836425,-0.016226284925836425,0.0,0.0,1,9
2020-06-21,1022.4287316952995,-0.01340582251841458,-0.01340582251841458,0.0,0.0,1,9
2020-06-28,1061.128679828105,0.038830998248686556,0.037850998248686554,1.96,0.00098,1,9
2020-07-05,1514.2541996983693,0.42744369036600605,0.4270222155748982,0.8429495822156767,0.0004214747911078384,2,10
2020-07-12,1568.6313601064344,0.03600081742283452,0.035910192898191605,0.1812490492858323,9.062452464291615e-05,2,10
2020-07-19,1681.3379833170784,0.0718655788608358,0.0718502932409797,0.030571239712204767,1.5285619856102383e-05,2,10
2020-07-26,1678.828442485767,-0.0014760293092272864,-0.0014925855813715417,0.03311254428851057,1.6556272144255284e-05,2,10
2020-08-02,2777.124740692603,0.6547148380860319,0.6542040094225693,1.0216573269252032,0.0005108286634626015,1,9
2020-08-09,3771.325339458741,0.35799637812386803,0.35799637812386803,0.0,0.0,1,9
2020-08-16,3050.4995696745027,-0.19113327674023767,-0.19113327674023767,0.0,0.0,1,9
2020-08-23,3311.7744959070774,0.08564988136040079,0.08564988136040079,0.0,0.0,1,9
2020-08-30,2584.2921802235346,-0.21966541398957448,-0.21966541398957448,0.0,0.0,1,9
2020-09-06,2521.6722854678233,-0.023461523156674897,-0.02423096553668128,1.5388847600127673,0.0007694423800063836,4,20
2020-09-13,2203.5983230583215,-0.1253898703151508,-0.12613612174846603,1.4925028666304612,0.0007462514333152306,4,20
2020-09-20,2166.0943653675026,-0.016371741846877237,-0.01701941651451617,1.2953493352778627,0.0006476746676389313,4,20
2020-09-27,2175.5406218989856,0.004579471242316472,0.004360962607406976,0.4370172698189928,0.0002185086349094964,4,20
2020-10-04,2329.765026589174,0.07141770528417614,0.07089015168816706,1.0551071920181625,0.0005275535960090812,6,31
2020-10-11,2220.2049287419136,-0.04667202315628341,-0.04702624367559446,0.7084410386220896,0.00035422051931104483,6,31
2020-10-18,2213.3456012606184,-0.0029018966415855396,-0.0030895019610562503,0.37521063894142104,0.00018760531947071052,6,31
2020-10-25,2186.5364359752334,-0.011417534007167477,-0.012112507540673136,1.3899470670113185,0.0006949735335056592,6,31
2020-11-01,2319.804603433847,0.06118683786690852,0.0609494382375449,0.47479925872722617,0.0002373996293636131,5,28
2020-11-08,2267.3336847266532,-0.022388871480510008,-0.022618680310197172,0.45961765937433063,0.00022980882968716532,5,28
2020-11-15,2776.331840019269,0.22484672181730692,0.2244919478422426,0.7095479501286421,0.0003547739750643211,5,28
2020-11-22,2858.7234089189733,0.029959715011446106,0.029676412492223185,0.5666050384458445,0.0002833025192229223,5,28
2020-11-29,2969.7872235898417,0.039510815732284335,0.03885084311562239,1.3199452333238921,0.0006599726166619461,5,28
2020-12-06,2781.772153691968,-0.06297875537189977,-0.06330927293525197,0.6610351267044083,0.0003305175633522042,5,25
2020-12-13,2879.109064159877,0.03535777186473156,0.034990971614523955,0.7336005004152033,0.0003668002502076017,5,25
2020-12-20,3107.8891310713248,0.07999992008443013,0.07946210505165613,1.0756300655480093,0.0005378150327740047,5,25
2020-12-27,3705.2475032823177,0.19279433941314458,0.19220710489279147,1.174469040706227,0.0005872345203531135,5,25
2021-01-03,4286.187682697178,0.157385570991546,0.15678849493865948,1.1941521057729958,0.0005970760528864979,7,39
2021-01-10,4136.847621437902,-0.034561566368960364,-0.03484216565274194,0.5611985675631539,0.00028059928378157693,7,39
2021-01-17,4687.713118383177,0.13397048862353822,0.13316069320286036,1.6195908413557007,0.0008097954206778504,7,39
2021-01-24,5604.2252145669545,0.19585489942640583,0.19551369143935332,0.6824159741050335,0.00034120798705251676,7,39
2021-01-31,8607.96797670952,0.5363250490321885,0.5359782391212605,0.6936198218557876,0.00034680991092789383,7,36
2021-02-07,9849.638542014269,0.14429815200317897,0.14424665248108756,0.10299904418282034,5.1499522091410173e-05,7,36
2021-02-14,11672.15368458325,0.18548702016442406,0.18503370806907546,0.9066241906972112,0.0004533120953486056,7,36
2021-02-21,10591.939901422333,-0.09204799790969773,-0.0925462268876463,0.9964579558971438,0.0004982289779485719,7,36
2021-02-28,11467.615409428092,0.08330346747431609,0.08267376100653387,1.2594129355644605,0.0006297064677822303,8,40
2021-03-07,13101.181668543708,0.14287730685503858,0.1424503875297893,0.8538386504985236,0.0004269193252492618,8,40
2021-03-14,14290.109951622462,0.09119333834800808,0.09074969824541887,0.8872802051784143,0.0004436401025892072,8,40
2021-03-21,14926.590295823342,0.045169174735112866,0.04453991931172055,1.2585108467846282,0.0006292554233923142,8,40
2021-03-28,19992.07028569136,0.33988723338193977,0.33935948461621585,1.0554975314477986,0.0005277487657238993,8,40
2021-04-04,23740.51930122775,0.18807906993748583,0.18749679057597202,1.1645587230276055,0.0005822793615138028,8,40
2021-04-11,30394.697333331536,0.2805517912942561,0.2802878044777928,0.5279736329266996,0.0002639868164633498,8,40
2021-04-18,24575.362876411335,-0.19117970425059214,-0.19145887169399722,0.5583348868101758,0.0002791674434050879,8,40
2021-04-25,31773.896793634958,0.29310172326698564,0.29291668869447857,0.3700691450141912,0.0001850345725070956,8,40
2021-05-02,41278.129331515076,0.2994059289771237,0.299120771984884,0.5703139844793471,0.00028515699223967357,8,40
2021-05-09,35029.85978529345,-0.15082633996052008,-0.15136997842223424,1.0872769234282944,0.0005436384617141472,8,40
2021-05-16,19376.79405916245,-0.4462876260549687,-0.4468492258339729,1.1231995580084015,0.0005615997790042007,8,40
2021-05-23,21999.87155415259,0.13552606938468312,0.13537210990534315,0.30791895867992214,0.00015395947933996107,8,40
2021-05-30,24680.3849357597,0.12185898045908097,0.12184222871524673,0.03350348766846678,1.675174383423339e-05,8,40
2021-06-06,22259.53587837378,-0.097623020167484,-0.09808797811246141,0.9299158899548127,0.00046495794497740633,8,40
2021-06-13,20586.12555128638,-0.07464613526202077,-0.07517723353401984,1.062196543998151,0.0005310982719990755,8,40
2021-06-20,16807.541038775653,-0.18288217544124152,-0.18355005671645747,1.3357625504318802,0.0006678812752159402,8,40
2021-06-27,19886.124697709398,0.1837069934768385,0.18316680898361828,1.0803689864404407,0.0005401844932202204,8,40
2021-07-04,18884.62690474729,-0.04989408383594897,-0.05036163697985197,0.9351062878060118,0.0004675531439030059,8,40
2021-07-11,15881.651305499236,-0.1581509846821349,-0.15901694083737253,1.7319123104752792,0.0008659561552376396,8,40
2021-07-18,18595.04360215757,0.17135332906093648,0.17085076636324242,1.0051253953881032,0.0005025626976940516,8,40
2021-07-25,20124.829228247967,0.08262574383406389,0.08226846136101011,0.7145649461075536,0.0003572824730537768,8,40
